                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.277853       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -7.69382302553407e-03
 9.75368572707009e-01 -2.87895108536553e-03
 9.50568816140303e-01  5.50650049613861e-04
 9.25689338159726e-01  2.25962801456382e-03
 9.00827047921540e-01  2.73533205370235e-03
 8.76079293270131e-01  1.92950097246322e-03
 8.51528866398289e-01 -1.00637381809306e-04
 8.27238723856742e-01 -3.15160575787757e-03
 8.03265769833366e-01 -7.15595473601723e-03
 7.79665558127905e-01 -1.20812794109500e-02
 7.56486329221450e-01 -1.78770767364075e-02
 7.33730695006256e-01 -2.43438378293938e-02
 7.11400391874042e-01 -3.13226713406104e-02
 6.89494186895860e-01 -3.86924157185114e-02
 6.67998994637852e-01 -4.63271512658169e-02
 6.46890235750844e-01 -5.40895586159941e-02
 6.26145406803985e-01 -6.18646395801424e-02
 6.05740578109663e-01 -6.95433481637413e-02
 5.85652757018852e-01 -7.70261156268973e-02
 5.65866651416954e-01 -8.42345065038898e-02
 5.46373381441557e-01 -9.11068138559589e-02
 5.27164473099226e-01 -9.75793311416970e-02
 5.08241566153005e-01 -1.03614475783501e-01
 4.89610764838714e-01 -1.09187222464237e-01
 4.71278044060531e-01 -1.14269417362841e-01
 4.53254046183225e-01 -1.18848076634393e-01
 4.35553451726004e-01 -1.22927377104754e-01
 4.18192365857696e-01 -1.26522358818438e-01
 4.01182651786694e-01 -1.29631556437068e-01
 3.84537415865021e-01 -1.32268297687976e-01
 3.68270456147255e-01 -1.34454172936906e-01
 3.52390758472834e-01 -1.36191537570016e-01
 3.36909882265409e-01 -1.37510490691790e-01
 3.21835876945791e-01 -1.38427305982686e-01
 3.07176561650820e-01 -1.38969818180147e-01
 2.92936606058901e-01 -1.39164243314319e-01
 2.79120428104470e-01 -1.39030697911069e-01
 2.65731178564580e-01 -1.38553582953921e-01
 2.52769029056508e-01 -1.37802963391467e-01
 2.40235263267104e-01 -1.36774148307153e-01
 2.28128897561967e-01 -1.35487838091784e-01
 2.16447189582577e-01 -1.33969643031048e-01
 2.05188089696875e-01 -1.32231015214766e-01
 1.94348184220110e-01 -1.30286975013621e-01
 1.83921519277916e-01 -1.28162723937730e-01
 1.73904392656708e-01 -1.25866908597869e-01
 1.64289394283363e-01 -1.23422700377894e-01
 1.55068912759769e-01 -1.20847382266197e-01
 1.46234416097625e-01 -1.18159452347406e-01
 1.37778648627803e-01 -1.15370053044363e-01
 1.29692075177454e-01 -1.12495385875435e-01
 1.21962544108780e-01 -1.09556744821014e-01
 1.14582487258091e-01 -1.06561013232830e-01
 1.07542255191392e-01 -1.03520197501087e-01
 1.00828231720571e-01 -1.00452478657662e-01
 9.44300113349853e-02 -9.73675819059957e-02
 8.83384499841805e-02 -9.42716869631078e-02
 8.25409405612279e-02 -9.11773649591278e-02
 7.70253849677134e-02 -8.80952395235488e-02
 7.17848184111728e-02 -8.50256927636689e-02
 6.68099730345553e-02 -8.19737888283911e-02
 6.20866706723050e-02 -7.89519777228810e-02
 5.76076545689325e-02 -7.59612723287217e-02
 5.33655872305457e-02 -7.30024785724270e-02
 4.93506752462391e-02 -7.00798282559762e-02
 4.55514235623158e-02 -6.71999179435626e-02
 4.19583302645720e-02 -6.43671413453002e-02
 3.85646227598269e-02 -6.15817536802184e-02
 3.53612507610112e-02 -5.88463728095768e-02
 3.23419641272827e-02 -5.61608619192135e-02
 2.95055209525928e-02 -5.35203418146320e-02
 2.68400723788460e-02 -5.09315880424605e-02
 2.43445130018859e-02 -4.83906020471169e-02
 2.20106840763829e-02 -4.58988580155432e-02
 1.98274022799123e-02 -4.34619072924272e-02
 1.77945647497684e-02 -4.10747646795778e-02
 1.59029084040375e-02 -3.87412353120846e-02
 1.41425885823850e-02 -3.64643081694163e-02
 1.25048641577001e-02 -3.42455347299833e-02
 1.10046228297929e-02 -3.20722013342956e-02
 9.62616997933497e-03 -2.99502780229672e-02
 8.36018253909761e-03 -2.78829258190794e-02
 7.19778725735916e-03 -2.58724727435575e-02
 6.15604385038597e-03 -2.39106266306417e-02
 5.22300396491098e-03 -2.20000022125749e-02
 4.37969668285545e-03 -2.01484696481110e-02
 3.57683037557585e-03 -1.83774098187224e-02
 2.85767890146842e-03 -1.66606516055951e-02
 2.27468496258289e-03 -1.49796572971739e-02
 1.79594494423451e-03 -1.33446026711001e-02
 1.39823131925669e-03 -1.17609673067419e-02
 1.10570980371691e-03 -1.02292485311258e-02
 8.82960062239778e-04 -8.75156384658123e-03
 7.10619406177514e-04 -7.33190401324615e-03
 5.70146404569361e-04 -5.97064212198908e-03
 4.46755568339668e-04 -4.66762606371401e-03
 3.28291461903541e-04 -3.42115539109107e-03
 2.15786784775863e-04 -2.22886830241917e-03
 1.07293093287686e-04 -1.08878425977216e-03
 0.00000000000000e+00  0.00000000000000e+00
 1.03926036138628e-04  1.09452438734823e-03
