                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.271119       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -6.92023209985122e-03
 9.75431400054623e-01 -2.29459192939348e-03
 9.50714281951290e-01  1.04201569309630e-03
 9.25928387908331e-01  2.82696615695758e-03
 9.01157984801420e-01  3.43825574072666e-03
 8.76494734954392e-01  2.80364224149266e-03
 8.52018712575263e-01  9.67802531022774e-04
 8.27791731897219e-01 -1.85894936106932e-03
 8.03869940737906e-01 -5.62709920040029e-03
 7.80310419355568e-01 -1.03166020887339e-02
 7.57162414755835e-01 -1.58864624551121e-02
 7.34434540195411e-01 -2.21511952814097e-02
 7.12128949579192e-01 -2.89397191967840e-02
 6.90245252625640e-01 -3.61283714025978e-02
 6.68773169943602e-01 -4.35954276903004e-02
 6.47690133088271e-01 -5.12044444076939e-02
 6.26974265694386e-01 -5.88389791038554e-02
 6.06601313875359e-01 -6.63868310045412e-02
 5.86549471545880e-01 -7.37507815286099e-02
 5.66803078118472e-01 -8.08512462461264e-02
 5.47352731159014e-01 -8.76254554357558e-02
 5.28190277761449e-01 -9.40111374146795e-02
 5.09315758442903e-01 -9.99667091113836e-02
 4.90735366398561e-01 -1.05468511755279e-01
 4.72454578199373e-01 -1.10487376896875e-01
 4.54483478209031e-01 -1.15009074057912e-01
 4.36835882412464e-01 -1.19034896997905e-01
 4.19528185414625e-01 -1.22582143017828e-01
 4.02572090396051e-01 -1.25649216149328e-01
 3.85980767034265e-01 -1.28251775685241e-01
 3.69767441382896e-01 -1.30409309389739e-01
 3.53940916780023e-01 -1.32124686023233e-01
 3.38512502831319e-01 -1.33428522598219e-01
 3.23490072541315e-01 -1.34338324113659e-01
 3.08881051514314e-01 -1.34880643193560e-01
 2.94689821974691e-01 -1.35082810610113e-01
 2.80920531624289e-01 -1.34963587893971e-01
 2.67576021507674e-01 -1.34509890235115e-01
 2.54656130047222e-01 -1.33790781942152e-01
 2.42161873354143e-01 -1.32801097215819e-01
 2.30091818855547e-01 -1.31562211635850e-01
 2.18442918102962e-01 -1.30099763643755e-01
 2.07212992066051e-01 -1.28423612341230e-01
 1.96398395272038e-01 -1.26547999157943e-01
 1.85992750840265e-01 -1.24499596060141e-01
 1.75992483589519e-01 -1.22284380920077e-01
 1.66389312899501e-01 -1.19928860772822e-01
 1.57176338288749e-01 -1.17446377881923e-01
 1.48345074359688e-01 -1.14854436697214e-01
 1.39887786746669e-01 -1.12165255355236e-01
 1.31794963323183e-01 -1.09394480375529e-01
 1.24054831084083e-01 -1.06562066984725e-01
 1.16659934940987e-01 -1.03674315274797e-01
 1.09600659391723e-01 -1.00742841021975e-01
 1.02863862552097e-01 -9.77847943806680e-02
 9.64393155551670e-02 -9.48095264195096e-02
 9.03180530939351e-02 -9.18226501907606e-02
 8.44874577000000e-02 -8.88372245874774e-02
 7.89358533197869e-02 -8.58632144763567e-02
 7.36563645986193e-02 -8.29007442220057e-02
 6.86398129025752e-02 -7.99545201004059e-02
 6.38723041829164e-02 -7.70369388062163e-02
 5.93466960625996e-02 -7.41488551118101e-02
 5.50559596958617e-02 -7.12906013192130e-02
 5.09903152536435e-02 -6.84664845764626e-02
 4.71383317633912e-02 -6.56832774203496e-02
 4.34906839905600e-02 -6.29452619669201e-02
 4.00408828229898e-02 -6.02523357702983e-02
 3.67801881569607e-02 -5.76068711259577e-02
 3.37022145395239e-02 -5.50088605943797e-02
 3.08053698976316e-02 -5.24536661218536e-02
 2.80785232562805e-02 -4.99474890988251e-02
 2.55199109264471e-02 -4.74867151665187e-02
 2.31222340798959e-02 -4.50720318270892e-02
 2.08743903160158e-02 -4.27093702092058e-02
 1.87764808720746e-02 -4.03933380674849e-02
 1.68189541428204e-02 -3.81280389598855e-02
 1.49922935511919e-02 -3.59166034867273e-02
 1.32887372045169e-02 -3.37600003217320e-02
 1.17232773239944e-02 -3.16445271987027e-02
 1.02816507215492e-02 -2.95756837457547e-02
 8.95480951502664e-03 -2.75568784454642e-02
 7.73376170941540e-03 -2.55910213844209e-02
 6.63444855159225e-03 -2.36696131708584e-02
 5.64626844522187e-03 -2.17952379204368e-02
 4.75000594814198e-03 -1.99763072398700e-02
 3.88904540426113e-03 -1.82405632655014e-02
 3.11741613949856e-03 -1.65534760053284e-02
 2.48562871664984e-03 -1.48966342242801e-02
 1.96603958403891e-03 -1.32796311101009e-02
 1.53476803019181e-03 -1.17096798980139e-02
 1.21333617925108e-03 -1.01881440823569e-02
 9.67250831783520e-04 -8.71851936139502e-03
 7.79589213325046e-04 -7.30490895209350e-03
 6.25095196193991e-04 -5.94884189541176e-03
 4.88340248172509e-04 -4.65085791626189e-03
 3.58263584643789e-04 -3.40902487526268e-03
 2.35124539108633e-04 -2.22108467645950e-03
 1.16539584289232e-04 -1.08511489942177e-03
 0.00000000000000e+00  0.00000000000000e+00
 1.11872482708736e-04  1.09018169335572e-03
 2.17673002951597e-04  2.22588866983126e-03
 3.22220433686948e-04  3.41404134834706e-03
 4.30032401010031e-04  4.65576699346320e-03
 5.38671308585086e-04  5.95363900781666e-03
 6.59661187954954e-04  7.30870570170367e-03
 8.09856176406790e-04  8.72219736486996e-03
 9.97942838370905e-04  1.01962203504462e-02
 1.24668943717167e-03  1.17258900390775e-02
 1.58409058527282e-03  1.33124250079211e-02
 1.98522058885511e-03  1.49572255435364e-02
 2.46920658727656e-03  1.66590667880004e-02
 3.05441535166952e-03  1.84102026349958e-02
 3.73066942775610e-03  2.02184372128341e-02
 4.46167307342093e-03  2.20939426386598e-02
 5.27310410499199e-03  2.40329142125704e-02
 6.19776212325661e-03  2.60229576393837e-02
 7.23397931333938e-03  2.80646436412209e-02
 8.37514540200521e-03  3.01648979365129e-02
 9.60643933880564e-03  3.23344486982032e-02
 1.09575123411398e-02  3.45575644345520e-02
 1.24339631329774e-02  3.68349672662523e-02
 1.40390117406449e-02  3.91676953571348e-02
 1.57668416117787e-02  4.15630177898453e-02
 1.76359370277899e-02  4.40100783777074e-02
 1.96531255603505e-02  4.65084719746076e-02
 2.18263659106376e-02  4.90558406206704e-02
 2.41654160325349e-02  5.16474773657578e-02
 2.66750565001981e-02  5.42821314031464e-02
 2.93595518058646e-02  5.69618340065572e-02
 3.22261732788418e-02  5.96842765044497e-02
 3.52845854829199e-02  6.24442411266635e-02
 3.85376804402099e-02  6.52431120076781e-02
 4.19951784938529e-02  6.80754458105774e-02
 4.56660244139089e-02  7.09369480908483e-02
 4.95571797903376e-02  7.38255046653973e-02
 5.36770123230201e-02  7.67374008752943e-02
 5.80312815730378e-02  7.96717280635456e-02
 6.26315823007133e-02  8.26190612021256e-02
 6.74873641931245e-02  8.55732734279531e-02
 7.26063869827491e-02  8.85304221322544e-02
 7.79964153278798e-02  9.14863707280339e-02
 8.36664407687808e-02  9.44350467903454e-02
 8.96259602638245e-02  9.73676686178558e-02
 9.58867015401551e-02  1.00270577037115e-01
 1.02455496680068e-01  1.03139933100873e-01
 1.09341382009421e-01  1.05967278616402e-01
 1.16554916114975e-01  1.08738988130312e-01
 1.24102822361373e-01  1.11450777117005e-01
 1.31994238664289e-01  1.14087734303844e-01
 1.40240308462033e-01  1.16628833744383e-01
 1.48846855826793e-01  1.19068284525845e-01
 1.57818418739135e-01  1.21406924869245e-01
 1.67166315729582e-01  1.23611113733919e-01
 1.76895342251169e-01  1.25676540262685e-01
 1.87010944717422e-01  1.27591595886708e-01
 1.97519285459448e-01  1.29336590848836e-01
 2.08424354351144e-01  1.30899721713086e-01
 2.19730248737153e-01  1.32267220581466e-01
 2.31438326864250e-01  1.33442978713344e-01
 2.43551538536090e-01  1.34418532637581e-01
 2.56072467742026e-01  1.35183292796689e-01
 2.69003140775360e-01  1.35720529872244e-01
 2.82345177751948e-01  1.35988642856611e-01
 2.96098206281846e-01  1.36043008295085e-01
 3.10262123644047e-01  1.35873129571766e-01
 3.24836636165347e-01  1.35402729202862e-01
 3.39821507476051e-01  1.34714002799800e-01
 3.55214637077272e-01  1.33755963007059e-01
 3.71014859426332e-01  1.32547861786419e-01
 3.87219794024475e-01  1.31083920604628e-01
 4.03827522340846e-01  1.29373824317886e-01
 4.20832122971990e-01  1.27388511383495e-01
 4.38233117746359e-01  1.25167732137210e-01
 4.56023470794882e-01  1.22687013532684e-01
 4.74200429643784e-01  1.19972470307877e-01
 4.92754194875797e-01  1.16997929084695e-01
 5.11680069461909e-01  1.13781240720713e-01
 5.30973561179601e-01  1.10347604537567e-01
 5.50627321498527e-01  1.06704754160545e-01
 5.70629851236220e-01  1.02845697675446e-01
 5.90972151549086e-01  9.87823807704225e-02
 6.11645010145137e-01  9.45297397433807e-02
 6.32635104705819e-01  9.00874302283685e-02
 6.53932706814064e-01  8.54773710905836e-02
 6.75523297441413e-01  8.07028332262234e-02
 6.97396699618713e-01  7.57908071177711e-02
 7.19535736963017e-01  7.07436424902996e-02
 7.41925777337520e-01  6.55763721030166e-02
 7.64555244962554e-01  6.03231751979459e-02
 7.87406722014380e-01  5.49971391906208e-02
 8.10463794031065e-01  4.96195714915964e-02
 8.33707872334301e-01  4.42037029842975e-02
 8.57121761286235e-01  3.87750867649534e-02
 8.80687400628231e-01  3.33585441144555e-02
 9.04385718786716e-01  2.79756431474606e-02
 9.28195408525037e-01  2.26460372074088e-02
 9.52094158747556e-01  1.73500460721461e-02
 9.76040894087473e-01  1.20794174175863e-02
 1.00000000000000e+00  6.85280833331237e-03
