                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.338544       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -3.21091504745102e-03
 9.74441147004119e-01 -2.77553421145543e-03
 9.48748357768045e-01 -2.60042380821600e-03
 9.23034518414292e-01 -2.62370713336902e-03
 8.97336028647742e-01 -3.13836636566459e-03
 8.71786411662181e-01 -5.20766871922297e-03
 8.46508406818103e-01 -8.75099644234665e-03
 8.21689691299655e-01 -1.35610089770299e-02
 7.97332281691151e-01 -1.93988446578530e-02
 7.73420783102701e-01 -2.61163101684790e-02
 7.49978193625236e-01 -3.35980139137068e-02
 7.27001253619896e-01 -4.16711638729439e-02
 7.04462980261835e-01 -5.01638392768874e-02
 6.82338441045615e-01 -5.89359976388843e-02
 6.60588519257282e-01 -6.78282857708903e-02
 6.39180875918767e-01 -7.67120639538675e-02
 6.18087870143012e-01 -8.54754290787814e-02
 5.97287799224669e-01 -9.40237061059414e-02
 5.76869785150763e-01 -1.02270610880685e-01
 5.56762857188865e-01 -1.10162124106457e-01
 5.36916422919987e-01 -1.17645302279887e-01
 5.17330595248680e-01 -1.24675756605556e-01
 4.98011533570489e-01 -1.31230583660395e-01
 4.78974563845356e-01 -1.37290833537332e-01
 4.60222776356534e-01 -1.42829402809143e-01
 4.41771624052617e-01 -1.47832994127935e-01
 4.23626696770750e-01 -1.52271376874668e-01
 4.05805742561548e-01 -1.56147012929007e-01
 3.88329479746108e-01 -1.59479996029385e-01
 3.71215184533810e-01 -1.62287756430914e-01
 3.54478934232003e-01 -1.64587134125497e-01
 3.38134205812337e-01 -1.66399906599594e-01
 3.22193926726018e-01 -1.67742596526504e-01
 3.06669303943743e-01 -1.68637929796545e-01
 2.91569239888060e-01 -1.69100717029464e-01
 2.76901192306721e-01 -1.69187485619848e-01
 2.62671301228916e-01 -1.68873236549002e-01
 2.48886773751244e-01 -1.68180594415837e-01
 2.35548488164966e-01 -1.67157962656807e-01
 2.22659219556429e-01 -1.65818314500584e-01
 2.10220224107336e-01 -1.64183193703523e-01
 1.98227957207752e-01 -1.62285134894343e-01
 1.86683692989504e-01 -1.60135209395439e-01
 1.75580905792419e-01 -1.57762410996470e-01
 1.64916856883271e-01 -1.55186590633956e-01
 1.54690248968722e-01 -1.52410036737752e-01
 1.44893544944548e-01 -1.49456956993954e-01
 1.35523641027240e-01 -1.46343628480370e-01
 1.26569242704107e-01 -1.43090911784346e-01
 1.18026178337043e-01 -1.39713135295102e-01
 1.09882687256361e-01 -1.36230583003960e-01
 1.02134099624264e-01 -1.32651402937328e-01
 9.47755957235048e-02 -1.28984695778153e-01
 8.77970827239056e-02 -1.25243060448788e-01
 8.11945816375945e-02 -1.21436416602687e-01
 7.49584581934501e-02 -1.17578465274183e-01
 6.90798543575595e-02 -1.13679765916160e-01
 6.35504490341473e-02 -1.09752333137871e-01
 5.83471251594179e-02 -1.05818443363483e-01
 5.34667301411089e-02 -1.01883928716457e-01
 4.89021514456333e-02 -9.79577546741206e-02
 4.46225463916928e-02 -9.40626763104245e-02
 4.06259644626644e-02 -9.02007768148786e-02
 3.69063579871271e-02 -8.63757287353919e-02
 3.34560710825723e-02 -8.25930909476900e-02
 3.02681654857129e-02 -7.88585722497100e-02
 2.73219952321309e-02 -7.51824843102094e-02
 2.46114076327726e-02 -7.15690664823295e-02
 2.21259665629278e-02 -6.80234674234865e-02
 1.98454203274469e-02 -6.45563448013095e-02
 1.77408450266208e-02 -6.11777574502023e-02
 1.58049349836037e-02 -5.78896034549790e-02
 1.40299581556026e-02 -5.46909830243042e-02
 1.23989166813958e-02 -5.15859374409262e-02
 1.09008162220338e-02 -4.85761377809372e-02
 9.54820177171672e-03 -4.56541544321580e-02
 8.34077987481311e-03 -4.28157340191442e-02
 7.25559437345824e-03 -4.00684162868235e-02
 6.29458044468697e-03 -3.74104310071534e-02
 5.45582482628093e-03 -3.48372559952494e-02
 4.73238685780812e-03 -3.23516741158878e-02
 4.10496222376424e-03 -2.99529000467924e-02
 3.55490794381826e-03 -2.76447118228987e-02
 3.08007928488000e-03 -2.54225172035142e-02
 2.65646801031765e-03 -2.32865888937143e-02
 2.26222558339903e-03 -2.12379867981781e-02
 1.89630342860894e-03 -1.92737022355432e-02
 1.57195502684540e-03 -1.73894589872479e-02
 1.29546021239176e-03 -1.55766897420642e-02
 1.06226601351768e-03 -1.38368400555491e-02
 8.63236828735885e-04 -1.21679239274063e-02
 7.01040088595065e-04 -1.05675336758256e-02
 5.75587297315269e-04 -9.03323209999233e-03
 4.75560779164625e-04 -7.56456078401082e-03
 3.91233222351876e-04 -6.15896347309438e-03
 3.10078392428340e-04 -4.81429966300891e-03
 2.30261800451299e-04 -3.52863809181240e-03
 1.54481479446233e-04 -2.29928275833208e-03
 7.90426483879227e-05 -1.12397053061365e-03
 0.00000000000000e+00  0.00000000000000e+00
 7.84216436436765e-05  1.12059518378633e-03
 1.59409380208381e-04  2.30262008816684e-03
 2.43040809655043e-04  3.53713714452040e-03
 3.31951333585035e-04  4.82676867514406e-03
 4.24011215656948e-04  6.17424467141971e-03
 5.25689627707588e-04  7.58149378080483e-03
 6.46132475387860e-04  9.05033420323953e-03
 7.90135471984884e-04  1.05837710513960e-02
 9.61643679559617e-04  1.21832425576768e-02
 1.17131259470763e-03  1.38504148066648e-02
 1.41905395461223e-03  1.55876381503378e-02
 1.70391475489736e-03  1.73979636648166e-02
 2.03468014865995e-03  1.92821223185137e-02
 2.39527837891294e-03  2.12456834684089e-02
 2.75246376035225e-03  2.32883521896136e-02
 3.12918737094280e-03  2.54116600403534e-02
 3.55357123486782e-03  2.76225418017700e-02
 4.03540043858702e-03  2.99224438864521e-02
 4.57362611927559e-03  3.23149707908296e-02
 5.19045663499033e-03  3.47974184816113e-02
 5.91692574039331e-03  3.73693797207817e-02
 6.75026291689825e-03  4.00301030235243e-02
 7.70784436769869e-03  4.27810747673023e-02
 8.79270023611848e-03  4.56195613280780e-02
 1.00211380243626e-02  4.85436435091159e-02
 1.14049337749482e-02  5.15501511390607e-02
 1.29056871159350e-02  5.46567040398208e-02
 1.45353893212733e-02  5.78611950830490e-02
 1.63178253163369e-02  6.11579101145157e-02
 1.82500583673552e-02  6.45510069159282e-02
 2.03452591252506e-02  6.80381865897031e-02
 2.26229715266947e-02  7.16130640876900e-02
 2.51078177963417e-02  7.52672916700113e-02
 2.78074365388014e-02  7.89966981160498e-02
 3.07292939106200e-02  8.27990140484506e-02
 3.38894650641080e-02  8.66670152390262e-02
 3.73069518980580e-02  9.05909304149777e-02
 4.09856591125765e-02  9.45665471721199e-02
 4.49383378367354e-02  9.85852725764297e-02
 4.91768859306562e-02  1.02639298726885e-01
