                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.327170       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -5.60106479004017e-03
 9.74666350311944e-01 -3.50828469579902e-03
 9.49155067033096e-01 -2.24122002510840e-03
 9.23588641169487e-01 -1.70400835971611e-03
 8.98039651828418e-01 -2.04642078218599e-03
 8.72635700381090e-01 -3.90157296248441e-03
 8.47490400778337e-01 -7.18216003810739e-03
 8.22760161007656e-01 -1.16871758191845e-02
 7.98462863624002e-01 -1.72126298029027e-02
 7.74600925396328e-01 -2.36330094131752e-02
 7.51203631089940e-01 -3.08424422452960e-02
 7.28263520137021e-01 -3.86444515617547e-02
 7.05761478857074e-01 -4.68825599358995e-02
 6.83678593021629e-01 -5.54245005521330e-02
 6.61980601071693e-01 -6.41161967378012e-02
 6.40635467005045e-01 -7.28252639013606e-02
 6.19616435976748e-01 -8.14400435339507e-02
 5.98901433671760e-01 -8.98644078664912e-02
 5.78549355417875e-01 -9.80058444238854e-02
 5.58503335680108e-01 -1.05804369008145e-01
 5.38723791267683e-01 -1.13205727806295e-01
 5.19207794599328e-01 -1.20158679843397e-01
 4.99961581348680e-01 -1.26639758540722e-01
 4.80997953468880e-01 -1.32627347976489e-01
 4.62321200044835e-01 -1.38095014029656e-01
 4.43946223476350e-01 -1.43030979991160e-01
 4.25882145100692e-01 -1.47417302128201e-01
 4.08146002259927e-01 -1.51258008005403e-01
 3.90756056577005e-01 -1.54567144998531e-01
 3.73728286078937e-01 -1.57358953399277e-01
 3.57078656883158e-01 -1.59653219094227e-01
 3.40819501282091e-01 -1.61465978995139e-01
 3.24963632262791e-01 -1.62817044985521e-01
 3.09521503629847e-01 -1.63726208285825e-01
 2.94502097405811e-01 -1.64213114816405e-01
 2.79912344763021e-01 -1.64325076162638e-01
 2.65758148301706e-01 -1.64050413281012e-01
 2.52045910649311e-01 -1.63399129681295e-01
 2.38776558708832e-01 -1.62426646630837e-01
 2.25952743397330e-01 -1.61141332670816e-01
 2.13575557258766e-01 -1.59563918334692e-01
 2.01641924417068e-01 -1.57725156143825e-01
 1.90152392729475e-01 -1.55637413270058e-01
 1.79101509827467e-01 -1.53326574764499e-01
 1.68486091757235e-01 -1.50812697380914e-01
 1.58303955803697e-01 -1.48102068374516e-01
 1.48548436224954e-01 -1.45215869175974e-01
 1.39214536193996e-01 -1.42173816651361e-01
 1.30291509727584e-01 -1.38997072929200e-01
 1.21774954219455e-01 -1.35698081497156e-01
 1.13653603971073e-01 -1.32296530719013e-01
 1.05920200046978e-01 -1.28805315935249e-01
 9.85690857198193e-02 -1.25233374268152e-01
 9.15900566777397e-02 -1.21593594996354e-01
 8.49759513844261e-02 -1.17899019038712e-01
 7.87167003495767e-02 -1.14162589330088e-01
 7.28031060641666e-02 -1.10394179502884e-01
 6.72256872063481e-02 -1.06605498613538e-01
 6.19637884005485e-02 -1.02816273237776e-01
 5.70134287934307e-02 -9.90308858750077e-02
 5.23669944370009e-02 -9.52574546293520e-02
 4.79977585254884e-02 -9.15160613500939e-02
 4.39023909658593e-02 -8.78085274207745e-02
 4.00742802044153e-02 -8.41380795412772e-02
 3.65052428164494e-02 -8.05098134176671e-02
 3.31871255949731e-02 -7.69294913057768e-02
 3.01021389225714e-02 -7.34059284105322e-02
 2.72439696832304e-02 -6.99425122589465e-02
 2.46024497895505e-02 -6.65438738406470e-02
 2.21616843907624e-02 -6.32176313415382e-02
 1.99010224547579e-02 -5.99696901404000e-02
 1.78111912478748e-02 -5.68037785424162e-02
 1.58869805985872e-02 -5.37179403839892e-02
 1.41129858142880e-02 -5.07162168172534e-02
 1.24780112610826e-02 -4.78010837853900e-02
 1.09908672468827e-02 -4.49661050613804e-02
 9.64894936401438e-03 -4.22089473016130e-02
 8.43270111784728e-03 -3.95358928907713e-02
 7.34038374139966e-03 -3.69464819501474e-02
 6.37470690121113e-03 -3.44348076950759e-02
 5.52515108541576e-03 -3.20048251817366e-02
 4.77511049562868e-03 -2.96565908000766e-02
 4.10881462733183e-03 -2.73931052298004e-02
 3.52983357689064e-03 -2.52089820548690e-02
 3.01592918730344e-03 -2.31051071540123e-02
 2.54574497595911e-03 -2.10838810418817e-02
 2.11080802446782e-03 -1.91439089102645e-02
 1.72489727077289e-03 -1.72812315660047e-02
 1.40542458070271e-03 -1.54844982053479e-02
 1.13895811816377e-03 -1.37580716667551e-02
 9.13647621096158e-04 -1.21007486637178e-02
 7.37411428437696e-04 -1.05103698480467e-02
 6.02226235260072e-04 -8.98460933488107e-03
